epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5580.78,1.08143,0.47408,1.00993,0.87358,0.76844,0.84894,0.52245,1.09681,0.53329,1.08956,0.005842,0.005842,0.005842
44,5710.23,1.07656,0.47336,1.00837,0.88779,0.7694,0.84949,0.53676,1.07717,0.52301,1.08541,0.005743,0.005743,0.005743
45,5839.89,1.07325,0.47054,1.00674,0.87726,0.76146,0.84264,0.52231,1.09093,0.52991,1.09418,0.005644,0.005644,0.005644
46,5970.03,1.07211,0.4697,1.00779,0.87581,0.77328,0.85271,0.53605,1.07399,0.52665,1.08401,0.005545,0.005545,0.005545
47,6100.1,1.06478,0.46745,1.006,0.88571,0.77797,0.85482,0.52482,1.09016,0.52256,1.09136,0.005446,0.005446,0.005446
48,6229.56,1.06081,0.46608,1.00375,0.88208,0.75949,0.84412,0.53114,1.07078,0.529,1.08501,0.005347,0.005347,0.005347
49,6359.13,1.06004,0.46386,1.00456,0.88577,0.76925,0.85246,0.5397,1.05848,0.51919,1.0796,0.005248,0.005248,0.005248
50,6488.74,1.05468,0.46339,1.00013,0.88155,0.76614,0.85181,0.53962,1.06561,0.52564,1.0797,0.005149,0.005149,0.005149
51,6618.21,1.05414,0.46313,1.00051,0.86953,0.752,0.84141,0.53954,1.05539,0.53994,1.07736,0.00505,0.00505,0.00505
52,6747.76,1.05058,0.46048,1.00101,0.88058,0.75709,0.84205,0.53665,1.06701,0.53267,1.08661,0.004951,0.004951,0.004951
53,6876.96,1.04217,0.45796,0.99756,0.88318,0.75967,0.84111,0.534,1.06937,0.52477,1.09002,0.004852,0.004852,0.004852
54,7006.31,1.04203,0.45761,0.99545,0.88339,0.76618,0.8493,0.54286,1.05168,0.52615,1.07769,0.004753,0.004753,0.004753
55,7135.62,1.03391,0.4539,0.99359,0.88185,0.76743,0.84794,0.53983,1.0537,0.5147,1.07971,0.004654,0.004654,0.004654
56,7264.73,1.03619,0.45323,0.99511,0.88018,0.75685,0.84121,0.53767,1.05455,0.52944,1.08183,0.004555,0.004555,0.004555
57,7394.1,1.02992,0.45253,0.99575,0.88447,0.76456,0.84522,0.54093,1.04588,0.52172,1.07815,0.004456,0.004456,0.004456
58,7524.25,1.02151,0.44894,0.99094,0.88792,0.75637,0.84045,0.53331,1.05967,0.52273,1.08654,0.004357,0.004357,0.004357
59,7654.02,1.02286,0.44852,0.99026,0.89161,0.76428,0.84794,0.54028,1.05099,0.51248,1.08052,0.004258,0.004258,0.004258
