epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3657.68,1.21616,0.55033,1.05304,0.84942,0.71212,0.81294,0.48773,1.16753,0.62667,1.08823,0.005842,0.005842,0.005842
44,3742.48,1.21127,0.54853,1.05225,0.84321,0.68152,0.78933,0.47944,1.16297,0.65846,1.08623,0.005743,0.005743,0.005743
45,3827.56,1.21015,0.54801,1.05129,0.82795,0.70113,0.79882,0.47395,1.17536,0.63653,1.09886,0.005644,0.005644,0.005644
46,3912.41,1.20519,0.54512,1.05136,0.84998,0.71292,0.8088,0.48944,1.153,0.61821,1.08667,0.005545,0.005545,0.005545
47,3997.49,1.20152,0.54215,1.05072,0.84967,0.72099,0.81077,0.48925,1.1577,0.61661,1.09179,0.005446,0.005446,0.005446
48,4082.27,1.19964,0.5409,1.04848,0.84747,0.72573,0.81761,0.49034,1.16369,0.60397,1.09088,0.005347,0.005347,0.005347
49,4167.02,1.19885,0.53985,1.04946,0.84601,0.7135,0.80972,0.48909,1.15843,0.62251,1.0877,0.005248,0.005248,0.005248
50,4251.65,1.19288,0.5382,1.04456,0.85054,0.7164,0.80835,0.49112,1.14567,0.61845,1.08253,0.005149,0.005149,0.005149
51,4336.38,1.19458,0.53866,1.04622,0.85246,0.70829,0.80558,0.48997,1.1496,0.62121,1.08467,0.00505,0.00505,0.00505
52,4421.14,1.19227,0.53702,1.04774,0.85865,0.71204,0.8073,0.49032,1.1489,0.61183,1.08635,0.004951,0.004951,0.004951
53,4505.53,1.1864,0.53451,1.04476,0.8566,0.70418,0.80116,0.48806,1.15463,0.62408,1.08974,0.004852,0.004852,0.004852
54,4590.15,1.18349,0.53383,1.04125,0.85398,0.72524,0.81561,0.49085,1.15747,0.60706,1.09103,0.004753,0.004753,0.004753
55,4674.58,1.17724,0.53017,1.04072,0.86845,0.7204,0.81557,0.49781,1.13885,0.59879,1.08269,0.004654,0.004654,0.004654
56,4758.89,1.18074,0.52989,1.04012,0.84928,0.72375,0.81736,0.50038,1.13695,0.61328,1.07946,0.004555,0.004555,0.004555
57,4843.39,1.17641,0.52993,1.04315,0.85717,0.72928,0.8217,0.49978,1.13023,0.59584,1.07466,0.004456,0.004456,0.004456
58,4927.95,1.16869,0.5254,1.03917,0.84658,0.72843,0.82126,0.49646,1.13562,0.5984,1.08433,0.004357,0.004357,0.004357
59,5012.78,1.17039,0.52606,1.03753,0.85695,0.71531,0.81454,0.49716,1.13202,0.59993,1.07969,0.004258,0.004258,0.004258
60,5097.46,1.16622,0.52355,1.03664,0.86229,0.71716,0.81623,0.49632,1.13401,0.59376,1.08043,0.004159,0.004159,0.004159
61,5183.14,1.16596,0.52489,1.03635,0.85959,0.7296,0.82239,0.49745,1.13396,0.58472,1.08061,0.00406,0.00406,0.00406
62,5267.82,1.16615,0.52429,1.03423,0.85912,0.72613,0.82043,0.49939,1.13575,0.5907,1.08821,0.003961,0.003961,0.003961
63,5352.34,1.15516,0.52029,1.03401,0.86156,0.72331,0.81982,0.50134,1.12432,0.59176,1.07834,0.003862,0.003862,0.003862
64,5436.9,1.15736,0.52047,1.03181,0.84671,0.72758,0.81661,0.49603,1.12803,0.59769,1.0818,0.003763,0.003763,0.003763
65,5521.55,1.15645,0.51874,1.02822,0.84978,0.72277,0.81383,0.49513,1.13015,0.59816,1.08308,0.003664,0.003664,0.003664
66,5606.44,1.15386,0.51875,1.03048,0.84603,0.71705,0.81061,0.49624,1.11884,0.60176,1.07761,0.003565,0.003565,0.003565
67,5690.69,1.14822,0.51514,1.03053,0.8556,0.72932,0.81894,0.49954,1.12312,0.58677,1.07841,0.003466,0.003466,0.003466
68,5776.95,1.14987,0.51664,1.02514,0.85381,0.73209,0.82282,0.50236,1.12126,0.58883,1.0791,0.003367,0.003367,0.003367
69,5861.94,1.14405,0.51383,1.02606,0.8535,0.72324,0.81587,0.49806,1.1253,0.58982,1.08192,0.003268,0.003268,0.003268
70,5946.35,1.13851,0.50995,1.02557,0.85176,0.71793,0.81332,0.50107,1.11791,0.59983,1.07551,0.003169,0.003169,0.003169
71,6030.99,1.13776,0.51042,1.0245,0.85073,0.72621,0.81698,0.50043,1.12293,0.59065,1.07989,0.00307,0.00307,0.00307
72,6115.78,1.1386,0.51019,1.02429,0.85486,0.72746,0.81901,0.50399,1.11807,0.58484,1.07931,0.002971,0.002971,0.002971
73,6201.02,1.13441,0.5087,1.02513,0.85096,0.73087,0.81881,0.5035,1.11513,0.58459,1.07731,0.002872,0.002872,0.002872
74,6285.96,1.13246,0.50767,1.02436,0.85221,0.72817,0.81999,0.50571,1.11448,0.5819,1.07534,0.002773,0.002773,0.002773
75,6371.11,1.13067,0.50724,1.023,0.85241,0.73388,0.82181,0.50409,1.11682,0.57951,1.07672,0.002674,0.002674,0.002674
76,6456.6,1.12608,0.50409,1.01869,0.85103,0.72779,0.819,0.50205,1.11509,0.58043,1.07717,0.002575,0.002575,0.002575
