epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10896,1.00264,0.42031,1.02581,0.87891,0.79405,0.86133,0.54838,1.0435,0.48997,1.15516,0.005842,0.005842,0.005842
44,11149.4,0.99628,0.41927,1.02781,0.8849,0.78395,0.85718,0.55372,1.02895,0.48865,1.154,0.005743,0.005743,0.005743
45,11403.1,0.99236,0.41569,1.02413,0.8841,0.78956,0.85661,0.54847,1.03658,0.48624,1.15705,0.005644,0.005644,0.005644
46,11656.7,0.98867,0.41521,1.02442,0.88624,0.78786,0.86091,0.55973,1.02414,0.48072,1.14898,0.005545,0.005545,0.005545
47,11910.3,0.98261,0.41177,1.02326,0.88779,0.79234,0.86285,0.55931,1.02576,0.47607,1.14897,0.005446,0.005446,0.005446
48,12163.9,0.98037,0.41049,1.0193,0.88823,0.79432,0.86376,0.55651,1.02967,0.47325,1.14961,0.005347,0.005347,0.005347
49,12417.2,0.97848,0.40991,1.02401,0.88984,0.79787,0.8632,0.56135,1.01477,0.46925,1.14717,0.005248,0.005248,0.005248
50,12670.9,0.97126,0.40783,1.01833,0.8789,0.79726,0.86046,0.55572,1.02789,0.47547,1.14976,0.005149,0.005149,0.005149
51,12923.8,0.97041,0.40793,1.01722,0.8822,0.79816,0.86155,0.55933,1.01737,0.4735,1.15082,0.00505,0.00505,0.00505
52,13177.2,0.96793,0.40699,1.0214,0.86849,0.78833,0.85314,0.54782,1.02776,0.48332,1.16362,0.004951,0.004951,0.004951
53,13430.3,0.96056,0.40292,1.01244,0.88314,0.796,0.8609,0.56148,1.01565,0.47056,1.14617,0.004852,0.004852,0.004852
54,13683.6,0.957,0.40243,1.01163,0.89391,0.79289,0.86659,0.55974,1.02072,0.47456,1.14938,0.004753,0.004753,0.004753
55,13936.8,0.94841,0.39968,1.00985,0.88519,0.79415,0.8617,0.56145,1.01244,0.47333,1.15312,0.004654,0.004654,0.004654
56,14189.9,0.95057,0.39951,1.00664,0.88647,0.79027,0.8605,0.55829,1.01896,0.47691,1.14188,0.004555,0.004555,0.004555
57,14443.1,0.94399,0.39788,1.00587,0.88848,0.79729,0.86354,0.56445,1.00105,0.47242,1.13528,0.004456,0.004456,0.004456
58,14696.3,0.93788,0.39505,1.0048,0.89263,0.79246,0.86276,0.55933,1.01319,0.47186,1.14362,0.004357,0.004357,0.004357
59,14949.7,0.93692,0.39489,1.00001,0.89573,0.7952,0.86647,0.56798,1.00416,0.46491,1.13585,0.004258,0.004258,0.004258
60,15203.2,0.92978,0.39222,0.99985,0.88121,0.79609,0.86182,0.5558,1.01525,0.46605,1.15398,0.004159,0.004159,0.004159
61,15456.7,0.93088,0.39377,1.00287,0.87941,0.79958,0.86257,0.55793,1.0137,0.46517,1.15601,0.00406,0.00406,0.00406
62,15709.9,0.9268,0.39151,0.99443,0.88262,0.79706,0.86349,0.56055,1.01077,0.46633,1.148,0.003961,0.003961,0.003961
63,15963.1,0.91562,0.38777,0.998,0.8856,0.79262,0.86115,0.5579,1.00857,0.46885,1.15244,0.003862,0.003862,0.003862
64,16216,0.91593,0.38711,0.99053,0.88397,0.7932,0.86041,0.55868,1.00565,0.46705,1.14434,0.003763,0.003763,0.003763
65,16469,0.91354,0.38579,0.99006,0.89103,0.78992,0.86073,0.56332,1.00103,0.46727,1.14933,0.003664,0.003664,0.003664
66,16722.5,0.90888,0.3842,0.98868,0.88253,0.78615,0.85801,0.56144,0.99996,0.4667,1.14247,0.003565,0.003565,0.003565
67,16975.4,0.89934,0.38024,0.98906,0.88112,0.78733,0.85873,0.55897,0.99869,0.46625,1.14338,0.003466,0.003466,0.003466
68,17229.1,0.90388,0.38242,0.98311,0.88454,0.78738,0.85801,0.55939,0.99929,0.47157,1.13858,0.003367,0.003367,0.003367
69,17482.9,0.89783,0.38071,0.98092,0.87648,0.79352,0.86021,0.56043,0.99961,0.47348,1.13747,0.003268,0.003268,0.003268
70,17736.3,0.88754,0.37686,0.98086,0.88312,0.7931,0.86052,0.5603,0.99934,0.46967,1.14466,0.003169,0.003169,0.003169
71,17989.5,0.88425,0.37615,0.98249,0.88273,0.79068,0.85972,0.55893,0.99858,0.46744,1.14982,0.00307,0.00307,0.00307
72,18243,0.88637,0.37622,0.98186,0.88256,0.79064,0.8601,0.55919,1.00131,0.46534,1.15228,0.002971,0.002971,0.002971
73,18496.4,0.88255,0.37395,0.97972,0.88671,0.79025,0.86152,0.56198,0.9982,0.46298,1.14564,0.002872,0.002872,0.002872
74,18749.3,0.87927,0.37347,0.97499,0.88533,0.79695,0.86398,0.56816,0.99562,0.46347,1.13403,0.002773,0.002773,0.002773
75,19002.6,0.87512,0.37203,0.97426,0.8922,0.7929,0.86506,0.56838,0.997,0.46079,1.13919,0.002674,0.002674,0.002674
76,19256.1,0.86979,0.36945,0.97275,0.88951,0.79109,0.86381,0.56875,0.99014,0.46319,1.14094,0.002575,0.002575,0.002575
77,19509.6,0.86584,0.36963,0.97307,0.88703,0.78926,0.86119,0.56601,0.99167,0.46642,1.14589,0.002476,0.002476,0.002476
78,19763.1,0.86273,0.36701,0.96886,0.88013,0.79585,0.86119,0.56412,0.99628,0.46307,1.14832,0.002377,0.002377,0.002377
79,20016.5,0.85774,0.36493,0.96727,0.87974,0.79952,0.86221,0.5648,0.99268,0.46284,1.14212,0.002278,0.002278,0.002278
80,20269.6,0.84839,0.36367,0.96641,0.88476,0.79435,0.86063,0.56452,0.9917,0.46517,1.14358,0.002179,0.002179,0.002179
81,20522.6,0.84968,0.36327,0.96521,0.87866,0.79642,0.85986,0.5634,0.9934,0.46687,1.14462,0.00208,0.00208,0.00208
82,20775.9,0.84486,0.3602,0.96179,0.88018,0.79623,0.86011,0.56323,0.99145,0.46428,1.14176,0.001981,0.001981,0.001981
83,21029.4,0.84602,0.36197,0.96287,0.87682,0.79868,0.86048,0.56205,0.99311,0.46321,1.14737,0.001882,0.001882,0.001882
84,21282.9,0.84149,0.3611,0.96055,0.88004,0.79339,0.85966,0.56245,0.9903,0.46322,1.14717,0.001783,0.001783,0.001783
85,21536.2,0.83157,0.35666,0.95823,0.87644,0.79141,0.85797,0.56263,0.99077,0.4647,1.14898,0.001684,0.001684,0.001684
86,21789.2,0.83108,0.35606,0.95836,0.87677,0.79121,0.85791,0.56333,0.98856,0.46448,1.14685,0.001585,0.001585,0.001585
87,22042.5,0.82967,0.35534,0.95707,0.8863,0.78826,0.8574,0.56401,0.9873,0.46479,1.14859,0.001486,0.001486,0.001486
88,22296.5,0.82097,0.35265,0.95557,0.87936,0.79189,0.85808,0.56437,0.98605,0.46382,1.14936,0.001387,0.001387,0.001387
89,22550,0.81885,0.35123,0.9542,0.88309,0.79,0.85878,0.56375,0.98653,0.46155,1.14943,0.001288,0.001288,0.001288
90,22803.9,0.81969,0.35264,0.95335,0.88672,0.78935,0.85945,0.56346,0.98706,0.46213,1.14936,0.001189,0.001189,0.001189
91,23057.4,0.80152,0.34472,0.95023,0.88344,0.79247,0.85958,0.56361,0.98878,0.46243,1.15462,0.00109,0.00109,0.00109
92,23310.4,0.79615,0.3422,0.94958,0.88309,0.79284,0.86073,0.56441,0.98707,0.46192,1.15362,0.000991,0.000991,0.000991
93,23562.7,0.79148,0.33962,0.94935,0.88402,0.79385,0.86109,0.56478,0.98746,0.46197,1.15447,0.000892,0.000892,0.000892
94,23815.2,0.78409,0.33804,0.94603,0.88315,0.79407,0.85997,0.56351,0.9873,0.46307,1.15532,0.000793,0.000793,0.000793
95,24067.2,0.78379,0.33739,0.94559,0.88409,0.79306,0.8603,0.56378,0.98741,0.46282,1.15568,0.000694,0.000694,0.000694
96,24320.9,0.7776,0.33603,0.94426,0.88689,0.79039,0.86017,0.56319,0.98738,0.46407,1.15532,0.000595,0.000595,0.000595
97,24573.3,0.77257,0.33311,0.94363,0.88499,0.79092,0.85866,0.56288,0.98712,0.46465,1.15571,0.000496,0.000496,0.000496
98,24826,0.77417,0.33386,0.94139,0.88541,0.79024,0.85843,0.563,0.98655,0.46421,1.15595,0.000397,0.000397,0.000397
99,25078.8,0.77268,0.33357,0.94173,0.885,0.79036,0.85877,0.56291,0.98793,0.4641,1.15918,0.000298,0.000298,0.000298
100,25331.6,0.76986,0.33312,0.93879,0.88592,0.79048,0.85882,0.56278,0.98803,0.46406,1.15904,0.000199,0.000199,0.000199
